"Category","Sub Category","Organization Type","Name","Address","Address2","City","County","State","Zip Code","Lat","Long","Email","Website","Description","CPG Number","CPG Issued On","Electricity Type","Utility","Owner","Stream","Project Team","Installation Date","Funding Source","Funding Amount","Financed By","System Specs","Capacity kW","Annual Production (kWh)","Energy Production Link","Annual Electricity Saved (kWh)","Capacity (MMBTU)","Annual Production (MMBTU)","Annual MMBTU Saved"
"Solar","Roof-Mounted PV","Residential","191 Algonquin Drive","191 Algonquin Drive","","Addison","Addison County","Vermont","05491","44.04033","-73.41985","","","4633","#NM-3448","","Net Metered","Green Mountain Power","","","Vermont Solar LLC","2013-12-10","","","","","2.05","","","","","",""
"Solar","Roof-Mounted PV","Residential","599 Grandey Rd","599 Grandey Rd","","Addison","Addison County","Vermont","05491","44.04175","-73.34193","","","4747","3478","2013-11-26","Net Metered","Green Mountain Power","","","Bristol Electronics","2014-02-19","","","","","2.85","","","","","",""
"Solar","Roof-Mounted PV","Residential","5856 RTE 125","5856 RTE 125","","Addison","Addison County","Vermont","05491","44.02633933","-73.399922","","","2515","","","Net Metered","Green Mountain Power","","","SunCommon","2013-03-05","","","","","3.73","","","","","",""
"Solar","Roof-Mounted PV","Residential","456 Burgey Farm Road","456 Burgey Farm Road","","Addison","Addison County","Vermont","05491","44.05691","-73.41734","","","28625","17-0155-NMR","","Net Metered","Green Mountain Power","","","Solar City Corporation","2017-04-05","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","493 Stillmeadow Lane","493 Stillmeadow Lane","","Addison","Addison County","Vermont","05491","44.04639","-73.4222","","","18583","","","Net Metered","Green Mountain Power","","","SunCommon","2016-05-31","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","884 TRI TOWN ROAD","884 TRI TOWN ROAD","","Addison","Addison County","Vermont","05491","44.08371","-73.4081","","","8073","5352","2014-11-05","Net Metered","Green Mountain Power","","","Bristol Electronics","2014-11-07","","","","","3.87","","","","","",""
"Solar","Roof-Mounted PV","Residential","91 Jersey St.","91 Jersey St.","","Addison","Addison County","Vermont","05491","44.09553533","-73.37778","","","23623","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-11-18","","","","","4.2","","","","","",""
"Solar","Roof-Mounted PV","Residential","342 Whitney Creek Rd.","342 Whitney Creek Rd.","","Addison","Addison County","Vermont","05491","44.03468683","-73.39700417","","","4838","","","Net Metered","Green Mountain Power","","","SunCommon","2014-05-06","","","","","4.85","","","","","",""
"Solar","Roof-Mounted PV","Residential","3640 Vt Route 22A","3640 Vt Route 22A","","Addison","Addison County","Vermont","05491","44.10711","-73.29581","","","42171","19-0681","","Net Metered","Green Mountain Power","","","Bristol Electronics","2019-04-19","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","275 Whitney Creek Road","275 Whitney Creek Road","","Addison","Addison County","Vermont","05491","44.03343833","-73.40110417","","","14298","","","Net Metered","Green Mountain Power","","","SunCommon","2015-09-21","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","3130 Mountain Rd","3130 Mountain Rd","","Addison","Addison County","Vermont","05491","44.04084783","-73.2935435","","","12409","","","Net Metered","Green Mountain Power","","","SunCommon","2015-06-09","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","60 Cedar Drive","60 Cedar Drive","","Addison","Addison County","Vermont","05491","44.04635","-73.41743","","","6524","","","Net Metered","Green Mountain Power","","","SunCommon","2014-07-28","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","419 Jersey Street South","419 Jersey Street South","","Addison","Addison County","Vermont","05491","44.06286533","-73.38223733","","","9578","","","Net Metered","Green Mountain Power","","","Solartech","2013-07-10","","","","","5.7","","","","","",""
"Solar","Roof-Mounted PV","Residential","341 Whitney Creek Road","341 Whitney Creek Road","","Addison","Addison County","Vermont","05491","44.03385267","-73.39905349999999","","","16178","","","Net Metered","Green Mountain Power","","","SunCommon","2016-01-21","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","87 Crane Pt","87 Crane Pt","","Addison","Addison County","Vermont","05491","44.05251","-73.41437000000001","","","41779","19-0443","2019-03-01","Net Metered","Green Mountain Power","","","Solar Communities","2019-03-04","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","217 Algonquin Dr.","217 Algonquin Dr.","","Addison","Addison County","Vermont","05491","44.04055","-73.42018","","","5015","","","Net Metered","Green Mountain Power","","","SunCommon","2014-01-31","","","","","6.27","","","","","",""
"Solar","Roof-Mounted PV","Residential","1433 Otter Creek Road","1433 Otter Creek Road","","Addison","Addison County","Vermont","05491","44.12195","-73.26430999999999","","","24154","#NM-16-1746","","Net Metered","Green Mountain Power","","","Bristol Electronics","2016-12-06","","","","","6.5","","","","","",""
"Solar","Roof-Mounted PV","Residential","435 Grandey Rd","435 Grandey Rd","","Addison","Addison County","Vermont","05491","44.04421","-73.34301000000001","","","7927","","","Net Metered","Green Mountain Power","","","SunCommon","2014-12-09","","","","","7","","","","","",""
"Solar","Roof-Mounted PV","Residential","3766 Lake St.","3766 Lake St.","","Addison","Addison County","Vermont","05491","44.09203","-73.39087000000001","","","7599","","","Net Metered","Green Mountain Power","","","SunCommon","2014-10-23","","","","","7","","","","","",""
"Solar","Roof-Mounted PV","Residential","1223 Vermont Route 17 E","1223 Vermont Route 17 E","","Addison","Addison County","Vermont","05491","44.08129","-73.26946","","","29214","17-0783-NMR","","Net Metered","Green Mountain Power","","","Solar City Corporation","2017-03-15","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","3771 Lake St.","3771 Lake St.","","Addison","Addison County","Vermont","05491","44.09141917","-73.38837567","","","20740","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-06-21","","","","","7.6","","","","","",""
